Rank 	Cards 	% won 	% tied
1 	AA 	31.0% 	0.5%
2 	KK 	26.0% 	0.6%
3 	QQ 	22.0% 	0.8%
4 	AKs 	20.2% 	1.9%
5 	JJ 	19.1% 	0.9%
6 	AQs 	18.7% 	2.2%
7 	KQs 	18.1% 	2.1%
8 	AJs 	17.5% 	2.5%
9 	KJs 	17.1% 	2.4%
10 	TT 	16.8% 	1.1%
11 	AKo 	16.7% 	2.0%
12 	ATs 	16.6% 	2.7%
13 	QJs 	16.6% 	2.4%
14 	KTs 	16.1% 	2.6%
15 	QTs 	15.8% 	2.6%
16 	JTs 	15.8% 	2.8%
17 	99 	15.3% 	0.9%
18 	AQo 	14.9% 	2.3%
19 	A9s 	14.6% 	2.7%
20 	KQo 	14.4% 	2.2%
21 	88 	14.2% 	0.9%
22 	K9s 	14.2% 	2.5%
23 	T9s 	14.1% 	2.7%
24 	A8s 	13.9% 	2.9%
25 	Q9s 	13.8% 	2.4%
26 	J9s 	13.8% 	2.5%
27 	AJo 	13.5% 	2.6%
28 	A5s 	13.4% 	3.3%
29 	77 	13.4% 	0.9%
30 	A7s 	13.4% 	3.0%
31 	KJo 	13.2% 	2.5%
32 	A4s 	13.2% 	3.1%
33 	A3s 	13.1% 	2.9%
34 	A6s 	13.0% 	3.1%
35 	QJo 	12.9% 	2.5%
36 	66 	12.8% 	0.9%
37 	K8s 	12.8% 	2.6%
38 	T8s 	12.7% 	2.7%
39 	A2s 	12.7% 	2.6%
40 	98s 	12.6% 	2.4%
41 	J8s 	12.5% 	2.5%
42 	ATo 	12.4% 	2.8%
43 	Q8s 	12.4% 	2.5%
44 	K7s 	12.2% 	2.7%
45 	KTo 	12.2% 	2.8%
46 	55 	12.2% 	0.9%
47 	JTo 	12.1% 	2.8%
48 	87s 	12.0% 	2.3%
49 	QTo 	12.0% 	2.8%
50 	44 	11.9% 	0.7%
51 	22 	11.9% 	0.3%
52 	33 	11.9% 	0.5%
53 	K6s 	11.8% 	2.8%
54 	97s 	11.7% 	2.4%
55 	K5s 	11.6% 	2.9%
56 	76s 	11.5% 	2.3%
57 	T7s 	11.5% 	2.7%
58 	K4s 	11.4% 	2.7%
59 	K2s 	11.3% 	2.3%
60 	K3s 	11.3% 	2.5%
61 	Q7s 	11.2% 	2.6%
62 	86s 	11.2% 	2.3%
63 	65s 	11.1% 	2.2%
64 	J7s 	11.1% 	2.6%
65 	54s 	10.9% 	2.2%
66 	Q6s 	10.9% 	2.7%
67 	75s 	10.7% 	2.3%
68 	96s 	10.7% 	2.4%
69 	Q5s 	10.6% 	2.8%
70 	64s 	10.4% 	2.0%
71 	Q4s 	10.4% 	2.5%
72 	Q3s 	10.4% 	2.4%
73 	T9o 	10.4% 	2.8%
74 	T6s 	10.3% 	2.7%
75 	Q2s 	10.3% 	2.1%
76 	A9o 	10.2% 	2.8%
77 	53s 	10.2% 	2.0%
78 	85s 	10.1% 	2.3%
79 	J6s 	10.1% 	2.7%
80 	J9o 	10.0% 	2.6%
81 	K9o 	9.9% 	2.6%
82 	J5s 	9.9% 	2.8%
83 	Q9o 	9.8% 	2.6%
84 	43s 	9.8% 	1.8%
85 	74s 	9.7% 	2.1%
86 	J4s 	9.7% 	2.6%
87 	J3s 	9.6% 	2.4%
88 	95s 	9.6% 	2.4%
89 	J2s 	9.5% 	2.2%
90 	63s 	9.5% 	1.8%
91 	A8o 	9.4% 	3.0%
92 	52s 	9.3% 	1.8%
93 	T5s 	9.2% 	2.9%
94 	84s 	9.1% 	2.1%
95 	T4s 	9.1% 	2.7%
96 	T3s 	9.1% 	2.4%
97 	42s 	9.0% 	1.6%
98 	T2s 	9.0% 	2.2%
99 	98o 	9.0% 	2.4%
100 	T8o 	8.9% 	2.8%
101 	A5o 	8.9% 	3.4%
102 	A7o 	8.8% 	3.2%
103 	73s 	8.8% 	1.9%
104 	A4o 	8.7% 	3.2%
105 	32s 	8.7% 	1.3%
106 	94s 	8.7% 	2.3%
107 	93s 	8.5% 	2.1%
108 	J8o 	8.5% 	2.7%
109 	A3o 	8.5% 	3.0%
110 	62s 	8.5% 	1.6%
111 	92s 	8.5% 	1.9%
112 	K8o 	8.5% 	2.8%
113 	A6o 	8.4% 	3.2%
114 	87o 	8.4% 	2.4%
115 	Q8o 	8.3% 	2.7%
116 	83s 	8.2% 	2.0%
117 	A2o 	8.2% 	2.7%
118 	82s 	8.1% 	1.8%
119 	97o 	8.0% 	2.5%
120 	72s 	7.9% 	1.8%
121 	76o 	7.9% 	2.4%
122 	K7o 	7.9% 	2.9%
123 	65o 	7.6% 	2.4%
124 	T7o 	7.5% 	2.8%
125 	K6o 	7.5% 	3.0%
126 	86o 	7.4% 	2.4%
127 	54o 	7.4% 	2.3%
128 	K5o 	7.1% 	3.0%
129 	J7o 	7.1% 	2.8%
130 	75o 	7.0% 	2.4%
131 	Q7o 	7.0% 	2.8%
132 	K4o 	7.0% 	2.8%
133 	K3o 	6.9% 	2.6%
134 	96o 	6.8% 	2.5%
135 	K2o 	6.8% 	2.4%
136 	64o 	6.8% 	2.1%
137 	Q6o 	6.6% 	2.9%
138 	53o 	6.6% 	2.1%
139 	85o 	6.3% 	2.5%
140 	T6o 	6.3% 	2.9%
141 	Q5o 	6.3% 	2.9%
142 	43o 	6.2% 	1.8%
143 	Q4o 	6.1% 	2.7%
144 	Q3o 	6.1% 	2.5%
145 	74o 	6.0% 	2.2%
146 	Q2o 	6.0% 	2.3%
147 	J6o 	5.9% 	2.9%
148 	63o 	5.7% 	1.9%
149 	J5o 	5.6% 	2.9%
150 	95o 	5.6% 	2.6%
151 	52o 	5.6% 	1.9%
152 	J4o 	5.5% 	2.7%
153 	J3o 	5.4% 	2.5%
154 	42o 	5.4% 	1.6%
155 	J2o 	5.3% 	2.3%
156 	84o 	5.3% 	2.3%
157 	T5o 	5.2% 	3.0%
158 	T4o 	5.0% 	2.8%
159 	32o 	5.0% 	1.4%
160 	T3o 	5.0% 	2.6%
161 	73o 	4.9% 	2.0%
162 	T2o 	4.9% 	2.3%
163 	62o 	4.7% 	1.7%
164 	94o 	4.7% 	2.4%
165 	93o 	4.5% 	2.2%
166 	92o 	4.5% 	2.0%
167 	83o 	4.3% 	2.1%
168 	82o 	4.2% 	1.9%
169 	72o 	4.0% 	1.9%
